rank,infinitive,english,group,aux
1,être,to be,irregular,avoir
2,avoir,to have,irregular,avoir
3,faire,to do/make,irregular,avoir
4,dire,to say,irregular,avoir
5,pouvoir,can/to be able,irregular,avoir
6,aller,to go,irregular,être
7,voir,to see,irregular,avoir
8,vouloir,to want,irregular,avoir
9,venir,to come,irregular,être
10,falloir,to be necessary,irregular,avoir
11,devoir,must/to have to,irregular,avoir
12,croire,to believe,irregular,avoir
13,trouver,to find,-er,avoir
14,donner,to give,-er,avoir
15,prendre,to take,-re,avoir
16,parler,to speak,-er,avoir
17,aimer,to like/love,-er,avoir
18,passer,to pass/spend,-er,avoir
19,mettre,to put,-re,avoir
20,demander,to ask,-er,avoir
21,tenir,to hold,irregular,avoir
22,sembler,to seem,-er,avoir
23,laisser,to leave/let,-er,avoir
24,rester,to stay,-er,être
25,penser,to think,-er,avoir
26,entendre,to hear,-re,avoir
27,regarder,to watch/look,-er,avoir
28,répondre,to answer,-re,avoir
29,rendre,to give back,-re,avoir
30,connaître,to know (be familiar with),irregular,avoir
31,arriver,to arrive/happen,-er,être
32,sentir,to feel/smell,irregular,avoir
33,attendre,to wait,-re,avoir
34,vivre,to live,irregular,avoir
35,chercher,to look for,-er,avoir
36,sortir,to go out,irregular,être
37,comprendre,to understand,-re,avoir
38,porter,to carry/wear,-er,avoir
39,devenir,to become,irregular,être
40,entrer,to enter,-er,être
41,écrire,to write,irregular,avoir
42,appeler,to call,-er,avoir
43,tomber,to fall,-er,être
44,commencer,to begin,-er,avoir
45,suivre,to follow,irregular,avoir
46,montrer,to show,-er,avoir
47,perdre,to lose,-re,avoir
48,partir,to leave,irregular,être
49,lire,to read,irregular,avoir
50,jouer,to play,-er,avoir
